Player Name,Team,Season,Archetype,Composite Score,Salary,Value Per Dollar (VORPD),Offensive Rating (Adjusted),Defensive Rating (Adjusted),ON/OFF Differential,Influence Score,True Shooting %,Blocks Per Game,Steals Per Game,Assist % (Adjusted),Three-Point %,Is Real Shooter,Salary ($M),Rank
Nickeil Alexander-Walker,MIN,2023-24,Perimeter Scorer,31.29,13340858.0,1.0616,-0.2235623975825837,0.7500157854383145,1.9737655396660607,0.082518951933929,0.5770556079295739,0.5,0.8,-0.0302169821248703,0.3837226601811473,1,13.34,216
Kevon Looney,GSW,2022-23,Perimeter Scorer,34.71,6399244.0,2.7856,1.7650665782708974,0.5883555260902992,5.241868425390982,0.0637349583530974,0.6128361380105521,0.6,0.6,-0.0175280917147735,0.3635862152809072,0,6.4,187
Derrick White,BOS,2022-23,Perimeter Scorer,48.52,22477346.0,1.4075,1.9628052795251267,1.2458524528722286,7.768442003488681,0.1038023056968499,0.5965649752692526,0.9,0.7,0.0321453439491091,0.3757740763206638,1,22.48,81
Cason Wallace,OKC,2023-24,Bench / Role Player,20.79,5121225.0,0.7151,-0.9093928636683888,0.4739865834877709,-4.049201663775924,0.075933329581219,0.5979002329229844,0.5,0.9,-0.0370370911748583,0.3956598031337887,1,5.12,325
Mikal Bridges,PHX,2021-22,Perimeter Scorer,44.92,18107012.0,1.3459,4.066117434569245,-0.5348555070883356,4.982765700551088,0.0910858830485898,0.6113146513328179,0.4,1.2,-0.0579224202562704,0.3654822561965035,1,18.11,109
Christian Braun,DEN,2023-24,Bench / Role Player,14.35,4330686.0,0.0,-3.498492436889761,1.7387716901907235,-6.465949652315904,0.0853756811454954,0.5616821127993125,0.4,0.5,-0.0375686413382573,0.3780595518867925,1,4.33,371
Chet Holmgren,OKC,2023-24,Two-Way Big,39.41,12082222.0,1.8442,2.5852480417754644,1.171348083001234,0.995728243715994,0.1300447670121879,0.619260795296133,2.3,0.6,-0.0231903256836608,0.3718303134182175,1,12.08,135
Harrison Barnes,SAC,2023-24,Bench / Role Player,12.54,16718088.0,0.0,-0.4957609451007714,-2.148297428769986,-6.8518095787935325,0.0925849880847792,0.6012012213297355,0.1,0.7,-0.0757913323646471,0.3818888286334057,1,16.72,383
Kevon Looney,GSW,2021-22,Bench / Role Player,29.75,5817514.0,1.5814,2.9221983080740137,-1.603330045137952,-0.4801347905859852,0.0690849784046708,0.5757081533722572,0.6,0.6,-0.0310839147460616,0.3565358014459358,0,5.82,260
Jonas Valančiūnas,NOP,2023-24,Bench / Role Player,30.96,9146554.0,1.5123,2.051126218925979,-2.573832577942585,-1.0365477919057282,0.1256310099827097,0.6069130917039116,0.8,0.4,-0.0171368287323169,0.353016318537859,1,9.15,220
Jalen Green,HOU,2023-24,Versatile Scorer,42.52,29550979.0,0.8593,1.2580176808414532,-3.145044202103633,-2.8244662756019268,0.1476535914568242,0.5468651535437934,0.3,0.8,0.0294236357574584,0.3446917974157822,1,29.55,109
Georges Niang,CLE,2023-24,Bench / Role Player,18.83,7215175.0,0.2359,0.9664968716759456,-2.2954300702303767,-2.445490025229804,0.1004494395236501,0.5806325984026017,0.2,0.4,-0.0683192476165936,0.375328717870257,1,7.22,345
Donte DiVincenzo,NYK,2023-24,Perimeter Scorer,42.25,10549993.0,2.3812,3.033451886393679,-1.1359579239842448,-2.2602930822515668,0.123793537066713,0.5923135744818807,0.4,1.3,0.000888458711496,0.3938073494350576,1,10.55,111
Terance Mann,LAC,2021-22,Defensive Wing,40.86,11271433.0,1.8019,0.5228629249043937,2.09732656394234,3.856875557747556,0.0893650915355586,0.5692044046850867,0.3,0.7,0.0037599131678518,0.3629372240584815,1,11.27,137
Cole Anthony,ORL,2023-24,Versatile Scorer,45.68,5276118.0,5.4116,0.4759764949878939,-0.3695817490494214,0.6532495605318562,0.1282989072062634,0.5530125310614804,0.5,0.8,0.0438458347735914,0.3556340119536795,1,5.28,88
Patty Mills,BKN,2021-22,Bench / Role Player,30.15,925258.0,10.3755,0.5771498771498795,0.5101592664092593,0.9698535061768584,0.090047282023066,0.5627955126441627,0.2,0.6,-0.0186543085293085,0.3878225606311021,1,0.93,255
